text,clause_type,risk
distributor agreement,Document Name,Low Risk
distributor,Parties,Low Risk
electric city of illinois l.l.c.,Parties,Low Risk
electric city of illinois llc,Parties,Low Risk
company,Parties,Low Risk
electric city corp.,Parties,Low Risk
"7th day of september, 1999.",Agreement Date,Low Risk
"unless earlier terminated otherwise provided therein, this agreement, subject to the commencement date established in section 1.3, shall be effective immediately.",Effective Date,Low Risk
"the term of this agreement shall be ten (10) years (the ""term"") which shall commence on the date upon which the company delivers to distributor the last sample, as defined hereinafter.",Effective Date,Low Risk
"the term of this agreement shall be ten (10) years (the ""term"") which shall commence on the date upon which the company delivers to distributor the last sample, as defined hereinafter.",Expiration Date,Low Risk
"if distributor complies with all of the terms of this agreement, the agreement shall be renewable on an annual basis for one (1) year terms for up to another ten (10) years on the same terms and conditions as set forth herein.",Renewal Term,Low Risk
this agreement is to be construed according to the laws of the state of illinois.,Governing Law,Low Risk
"the company appoints the distributor as an exclusive distributor of products in the market, subject to the terms and conditions of this agreement.",Exclusivity,Low Risk
"company hereby appoints distributor as company's exclusive distributor within the market and grants to distributor the exclusive right to sell and distribute products within the market, and distributor hereby accepts such appointment and such grant, in accordance with the terms and conditions of this agreement.",Exclusivity,Low Risk
the distributor shall not order or purchase products from any source other than the company.,Exclusivity,Low Risk
"term of the agreement and for a period of eighteen (18) months thereafter, nor will distributor solicit any customer or potential customer of company to purchase a competitive product during that period.",No-Solicit Of Customers,Low Risk
"distributor further agrees that it will not interfere with or otherwise disrupt the business relations between the company or nay of its affiliates and any of their current or prospective customers, suppliers or distributors, during the",No-Solicit Of Customers,Low Risk
"during the term of this agreement and for a period of twelve (12) months thereafter, the distributor (on behalf of itself, each of its affiliates and each of their respective representatives) agrees that it will not directly or indirectly solicit or hire any executive, managerial or technical employee of the company or any of its affiliates.",No-Solicit Of Employees,Low Risk
distributor shall exercise its option to become exclusive distributor of other products or devices by serving written notification on company of its election to become exclusive distributor within thirty (30) days upon which company informed distributor in writing of company's intention to introduce other products or devices.,Rofr/Rofo/Rofn,Medium Risk
"should company introduce other products or devices as contemplated by recital paragraph ""a"", distributor shall have the option of becoming company's exclusive distributor of such other products or devices within the market.",Rofr/Rofo/Rofn,Medium Risk
"if distributor does not exercise its option as herein provided, company may distribute the other products or devices within the market itself or through other distributors.",Rofr/Rofo/Rofn,Medium Risk
"in the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this agreement effective immediately upon written notice.",Anti-Assignment,High Risk
"no assignment of this agreement or any right accruing hereunder shall be made by the distributor in whole or in part, without the prior written consent of the company, which consent shall not be unreasonably withheld.",Anti-Assignment,High Risk
"the company also reserves the right to increase or decrease the price per unit based on company wide changes in unit prices to all distributors of the company, provided however, that any price changes, other than those based on the cpi, shall be uniformly applied to all distributors of the products and shall reasonably applied to all distributors of the products and shall reasonably reflect company's costs of manufacturing the products and/or market demand for the products, provided further than any increase in price based upon market demand shall not be so great as to deprive distributor of its normal and customary profit margin.",Price Restrictions,Medium Risk
the prices set forth in section 2.4(a) shall be subject to adjustment annually on the first day of each product year beginning in the calendar year 2000 and on the first day of each succeeding product year for the remainder of the term and all renewals of this agreement in proportion to the increase or decrease in the consumer price index (cpi) as compared to the cpi as it existed on the first day of the term of this agreement.,Price Restrictions,Medium Risk
"in order to maintain the exclusive rights to sell, lease, distribute and service products in the market, the distributor must use all commercially reasonably efforts to purchase for sale to subdistributors the following minimum quantities of the products from the company: on the commencement of the term distributor will issue to the company an irrevocable letter of credit (""lc"") in the amount of five hundred thousand dollars ($500,000), the form of which is attached hereto as exhibit a and incorporated herein by reference.",Minimum Commitment,High Risk
company's representatives will make themselves available three days per month in the first product year to consult with and train distributor.,Minimum Commitment,High Risk
"if the distributor shall fail to purchase the minimum number of units in any year, the distributor's exclusive rights to sell and distribute the product in the market, may at company's sole option, be reevaluated.",Minimum Commitment,High Risk
"a minimum of a $250,000.00 purchase order must be received by company by the first of each month for a total (12) month period.",Minimum Commitment,High Risk
"(a) 375 units in the first product year (1999) (b) 750 units in the next succeeding product year; (2000) (c) 937 units in the next succeeding product year; (2001) (d) 1,171 units in the next succeeding product year; (2002) (e) 1,463 units in the next succeeding product year; (2003) (f) 1,828 units in the next succeeding product year; (2004) (g) 2,285 units in the next succeeding product year; (2005) (h) 2,856 unit each in the lat three years of the initial term of this agreement and any renewals thereof.",Minimum Commitment,High Risk
"company hereby appoints distributor as company's exclusive distributor within the market and grants to distributor the exclusive right to sell and distribute products within the market, and distributor hereby accepts such appointment and such grant, in accordance with the terms and conditions of this agreement.",License Grant,Low Risk
"the company hereby grants the distributor the right to do business and use the name ""electric city of illinois"" or a similar variation thereof (collectively the ""names"") for use under this agreement.",License Grant,Low Risk
"upon the expiration or termination of this agreement, pursuant to section 4.1 or 4.2 hereof, the company may, at its option to be exercised within 30 days of the date of the termination of this agreement, and in its sole discretion, repurchase any products in the possession of the distributor at the net invoice price paid by the distributor to the company less any applicable special allowances, discounts, shipping or allowances for cooperative advertising.",Post-Termination Services,Low Risk
"following expiration or termination of this agreement, the distributor may continue to sell any products in the market which are in its inventory",Post-Termination Services,Low Risk
"if company terminates the agreement without cause and for reasons other than distributor's failure to meet its minimum expectations; it shall repurchase from distributor any unopened product, and shall bear all shipping, handling and related costs notwithstanding any other remedies to which distributor may be entitled.",Post-Termination Services,Low Risk
and which the company has not repurchased.,Post-Termination Services,Low Risk
"in the event of any damages or other defect in a product which is discovered by distributor within 365 days of satisfactory installation of a product at distributor's or a subdistributor's customer, the distributor shall promptly report the same to the company and reasonably demonstrate the defect to the company.",Warranty Duration,Low Risk
"the company shall not have any obligation with respect to products after 365 days following delivery to distributor, except as provided herein.",Warranty Duration,Low Risk
"in the event that company is unable or unwilling to promptly perform any warranty work without reasonable cause and following full and fair opportunity to do so, or in the event of the necessity for emergency repairs of a defective product for which there is no reasonable possibility of performance by company, distributor may perform such warranty work or hire a third party to perform such warranty work and the reasonable cost thereof shall be paid by company.",Warranty Duration,Low Risk
"if, within the twenty-four (24) month warranty period set forth above, company received from distributor or any of distributor's end-user's a notice which may be oral notice confirmed in writing) that any of the products sold hereunder do not meet the warranties specified above, company shall thereupon correct each such defect by providing the necessary repairs, and/or replacement parts, or if necessary, products.",Warranty Duration,Low Risk
"the company represents that, to the best of its knowledge, products are in compliance with all laws, and that the products will not be hazardous or dangerous when used for their intended purpose. products do not cause harmful emissions or other environmental hazards and products do not violate or infringe any patents, copyrights, trademarks or other rights of nay third party(ies).",Warranty Duration,Low Risk
the company reserves the right to reject any products that are not factory sealed and in new and unused condition.,Warranty Duration,Low Risk
"if company does not give annual notice pursuant to section 3.1 hereof, distributor may, within 90 days of modification, improvement or alteration, return the products to the company.",Warranty Duration,Low Risk
"company further warrants that the products sold hereunder shall be free from defects in design, materials and workmanship for a period of twenty-four (24) months after delivery to distributor's end-user.",Warranty Duration,Low Risk
"company will carry a reasonable amount of product liability insurance through a reasonably acceptable products liability insurance company and will name the distributor as an additional insured under that policy. company will make reasonable efforts to procure a policy, which is non-cancelable, except upon thirty (30) days, advance notice to the distributor.",Insurance,Low Risk
"during the term of this agreement and for three years thereafter, the distributor (on behalf of itself and each of its affiliates) agrees not to commence, or provide any information to or otherwise assist any person or entity in connection with, any suit, action or proceeding contesting the ownership, validity or enforceability of any patent, copyright, trademark, trade name or other propriety right owned by or licensed to the company, whether currently existing or hereinafter invented, developed or acquired unless required to by court order.",Covenant Not To Sue,Low Risk
promotion and distribution agreement,Document Name,Low Risk
google,Parties,Low Risk
distributor,Parties,Low Risk
google inc,Parties,Low Risk
whitesmoke inc.,Parties,Low Risk
1 august 2011,Effective Date,Low Risk
"""term"" means the earlier of: (a) the end of the two year period from the effective date to 31 july 2013; or (b) the last day of the calendar month within which the maximum distribution commitment is reached.",Expiration Date,Low Risk
"this agreement shall commence on the effective date and, unless earlier terminated as set out in this agreement, shall continue for the term.",Expiration Date,Low Risk
this agreement is governed by english law and the parties submit to the exclusive jurisdiction of the english courts in relation to any dispute (contractual or non-contractual) concerning this agreement save that either party may apply to any court for an injunction or other relief to protect its intellectual property rights.,Governing Law,Low Risk
"for the avoidance of doubt, a change of control shall be deemed an assignment hereunder unless [ * ] does not exercise its [ * ].",Change Of Control,Medium Risk
"for the avoidance of doubt, if following [ * ] there is a transfer of shareholding or interests in distributor to any existing or new shareholder(s) which results in any person or persons subsequently gaining control of distributor, then google may exercise its right to terminate in accordance with this clause 5.4.",Change Of Control,Medium Risk
"[ * ] expected to experience, or [ * ] is experiencing, such change of control shall notify [ * ] in writing of this before or within [ * ] after the change of control.",Change Of Control,Medium Risk
"[ * ] may terminate this agreement immediately upon written notice if there is a change of control of [ * ]. in this clause the term ""control"" shall mean the possession by any person(s) directly or indirectly of the power to direct or cause the direction of another person and ""change of control"" is to be construed accordingly.",Change Of Control,Medium Risk
[ * ] may [ * ]any of its rights or obligations under this agreement without the prior written consent of [ * ].,Anti-Assignment,High Risk
"subject to the terms and conditions of this agreement, google grants to distributor a [* ] license during the term to: (a) bundle the distribution products, in machine-readable binary code format only, solely with distributor app(s); (b) distribute bundles directly (or indirectly, subject to clause 2.2 (third party distribution)) to end users in the territory; (c) when indicated by the applicable criteria checker and requested by the end user in accordance with clause 3.2 (form of distribution offering), install the chrome browser or the google toolbar (as applicable) on the end user's system using the google installers; and (d) reproduce (or have reproduced by third party distributors as defined in clause 2.2 (third party distribution)), the distribution products to the extent necessary to exercise the rights granted in (a), (b) and (c).",License Grant,Low Risk
"subject to the terms and conditions of this agreement, google grants to distributor a limited, [ * ] license during the term to use the google trademarks, in accordance with google's trademark usage guidelines, solely to market and promote the products consistent with this agreement, provided that all use of the google trademarks shall be subject to google's prior review and advance written consent.",License Grant,Low Risk
"during the term, and for a period of [ * ] thereafter, google may audit distributor's relevant records to confirm distributor's compliance with this agreement.",Audit Rights,Low Risk
